D K {'rel_weight': 0.9960909714600589, 'rel_center': 0.9929964066339063, 'rel_inertia': 0.9999360487500176}
D L {'rel_weight': 0.948775402936891, 'rel_center': 0.9886610066139377, 'rel_inertia': 0.997680013715262}
D M {'rel_weight': 0.9680587195989994, 'rel_center': 0.9905257347534907, 'rel_inertia': 0.9954499265547962}
D N {'rel_weight': 0.9666404590543489, 'rel_center': 0.9989507936503487, 'rel_inertia': 0.9987406538837807}
D O {'rel_weight': 0.998359991608606, 'rel_center': 0.9989287891401463, 'rel_inertia': 0.9983380710168569}
D Ö {'rel_weight': 0.9853022612836658, 'rel_center': 0.9911811795673651, 'rel_inertia': 0.9961052468053191}
D P {'rel_weight': 0.9698762359891958, 'rel_center': 0.9971968431102282, 'rel_inertia': 0.9980377269721425}
D R {'rel_weight': 0.9869577750642852, 'rel_center': 0.9983895974911757, 'rel_inertia': 0.9993266581323299}
D S {'rel_weight': 0.9544526446391159, 'rel_center': 0.994802205046005, 'rel_inertia': 0.9972891247135142}
D Ş {'rel_weight': 0.9645501638767993, 'rel_center': 0.9916381844219332, 'rel_inertia': 0.9976638514247129}
D T {'rel_weight': 0.9517631315106687, 'rel_center': 0.999159511612007, 'rel_inertia': 0.9974050279969638}
D U {'rel_weight': 0.9573065943215304, 'rel_center': 0.9931300496417972, 'rel_inertia': 0.9986377990361611}
D Ü {'rel_weight': 0.9736359802485485, 'rel_center': 0.9922106993754753, 'rel_inertia': 0.9969266237948147}
D V {'rel_weight': 0.943192921282715, 'rel_center': 0.9969062339167031, 'rel_inertia': 0.9976573999880365}
D Y {'rel_weight': 0.9519415033658196, 'rel_center': 0.9970715777712489, 'rel_inertia': 0.9975846884373627}
D Z {'rel_weight': 0.9710412271681501, 'rel_center': 0.9957592337113788, 'rel_inertia': 0.9983124176874645}
E A {'rel_weight': 0.9806500175035804, 'rel_center': 0.9887204506223726, 'rel_inertia': 0.9977801858757654}
E B {'rel_weight': 0.9590993142987279, 'rel_center': 0.9923442042053157, 'rel_inertia': 0.9985515284683364}
E C {'rel_weight': 0.9841867969439945, 'rel_center': 0.997024976177277, 'rel_inertia': 0.9990491916930618}
E Ç {'rel_weight': 0.9942898903021512, 'rel_center': 0.9953636113085632, 'rel_inertia': 0.9989607481352382}
E D {'rel_weight': 0.9617581697645711, 'rel_center': 0.9935478818162092, 'rel_inertia': 0.9978170533852494}
E E {'rel_weight': 0.9944308769197908, 'rel_center': 0.999249682023133, 'rel_inertia': 0.9995810385556331}
E F {'rel_weight': 0.9911628087165368, 'rel_center': 0.99718107455342, 'rel_inertia': 0.9995085664707262}
E G {'rel_weight': 0.9896231980114265, 'rel_center': 0.9985280514481519, 'rel_inertia': 0.9976205547982437}
E Ğ {'rel_weight': 0.9749660482264483, 'rel_center': 0.9931201812942289, 'rel_inertia': 0.9960212508164272}
E H {'rel_weight': 0.9478340168218535, 'rel_center': 0.9917971335497328, 'rel_inertia': 0.9967043834355549}
E I {'rel_weight': 0.9652515096956311, 'rel_center': 0.9940059124527812, 'rel_inertia': 0.9978504582298695}
E İ {'rel_weight': 0.9754465760416, 'rel_center': 0.994346410514136, 'rel_inertia': 0.9981856130570445}
E J {'rel_weight': 0.9764164730039832, 'rel_center': 0.9914010899163913, 'rel_inertia': 0.9982839597946798}
E K {'rel_weight': 0.9643027557607082, 'rel_center': 0.9987679275857964, 'rel_inertia': 0.9981488339405622}
E L {'rel_weight': 0.9805636186362416, 'rel_center': 0.9942102782186155, 'rel_inertia': 0.9989524825638952}
E M {'rel_weight': 0.9362705038996487, 'rel_center': 0.9846749476846934, 'rel_inertia': 0.9936638460083747}
E N {'rel_weight': 0.9984286747536996, 'rel_center': 0.9931969066615803, 'rel_inertia': 0.9994249245762017}
E O {'rel_weight': 0.9698517926920434, 'rel_center': 0.9935864739946665, 'rel_inertia': 0.9966211096992379}
E Ö {'rel_weight': 0.9535140455843152, 'rel_center': 0.9863736190784563, 'rel_inertia': 0.994725894932988}
E P {'rel_weight': 0.9983355483114535, 'rel_center': 0.9933964232354733, 'rel_inertia': 0.9994141385664614}
E R {'rel_weight': 0.9551695593649345, 'rel_center': 0.994784086145408, 'rel_inertia': 0.9981604554414569}
E S {'rel_weight': 0.9862408603384666, 'rel_center': 0.9944740370084835, 'rel_inertia': 0.9988295842087074}
E Ş {'rel_weight': 0.9963383795761499, 'rel_center': 0.9928646536214235, 'rel_inertia': 0.9994480130611278}
E T {'rel_weight': 0.9835513472100194, 'rel_center': 0.9936169503615493, 'rel_inertia': 0.9990027959143452}
E U {'rel_weight': 0.9890948100208811, 'rel_center': 0.9987451790136002, 'rel_inertia': 0.9993524581307368}
E Ü {'rel_weight': 0.9945758040521009, 'rel_center': 0.9911847470886849, 'rel_inertia': 0.9965429246133651}
E V {'rel_weight': 0.9749811369820657, 'rel_center': 0.9966783204330765, 'rel_inertia': 0.9993356868433905}
E Y {'rel_weight': 0.9837297190651703, 'rel_center': 0.9970255798491386, 'rel_inertia': 0.9993709810093209}
E Z {'rel_weight': 0.9971705571324992, 'rel_center': 0.9950497110114954, 'rel_inertia': 0.999581119401858}
F A {'rel_weight': 0.9941204439454303, 'rel_center': 0.98786085314999, 'rel_inertia': 0.9981099203234913}
F B {'rel_weight': 0.9456288878568779, 'rel_center': 0.9939370796106308, 'rel_inertia': 0.9979188860798501}
F C {'rel_weight': 0.9976572233858444, 'rel_center': 0.9956225290567936, 'rel_inertia': 0.9985165699556561}
F Ç {'rel_weight': 0.9922396832559989, 'rel_center': 0.9933984837159784, 'rel_inertia': 0.9983047597600155}
F D {'rel_weight': 0.9482877433227211, 'rel_center': 0.9953429977599234, 'rel_inertia': 0.9971615854853019}
F E {'rel_weight': 0.9809604504779409, 'rel_center': 0.9984092465134492, 'rel_inertia': 0.9989879329564955}
F F {'rel_weight': 0.9953667648416132, 'rel_center': 0.9991172746223375, 'rel_inertia': 0.9996412278533877}
F G {'rel_weight': 0.9761527715695766, 'rel_center': 0.9969811032129033, 'rel_inertia': 0.9970302025239132}
F Ğ {'rel_weight': 0.9614956217845984, 'rel_center': 0.9950773834969867, 'rel_inertia': 0.9954180501066793}
F H {'rel_weight': 0.9343635903800036, 'rel_center': 0.9936409293745261, 'rel_inertia': 0.9960487951743793}
F I {'rel_weight': 0.978721936137481, 'rel_center': 0.9934147765552819, 'rel_inertia': 0.9984831560941133}
F İ {'rel_weight': 0.9889170024834499, 'rel_center': 0.9955261199347756, 'rel_inertia': 0.9984827141894108}
F J {'rel_weight': 0.9898868994458331, 'rel_center': 0.9909693381948921, 'rel_inertia': 0.9988710279663351}
